               epoch;      train/box_loss;      train/obj_loss;      train/cls_loss;   metrics/precision;      metrics/recall;     metrics/mAP_0.5;metrics/mAP_0.5:0.95;        val/box_loss;        val/obj_loss;        val/cls_loss;               x/lr0;               x/lr1;               x/lr2;;;
145;            0.035755;              0.0156;           0.0023982;             0.83505;             0.75965;             0.84471;             0.50768;            0.035997;            0.025852;           0.0030789;           0.0087498;           0.0087498;             0.02125;;;
146;            0.036572;            0.014661;            0.002624;             0.69851;             0.83728;             0.83791;             0.47991;            0.035286;            0.022902;           0.0027839;           0.0088098;           0.0088098;             0.02071;;;
147;            0.034963;            0.014118;           0.0031389;             0.94417;             0.84054;              0.9236;             0.61322;            0.033303;            0.023262;           0.0029332;           0.0088698;           0.0088698;             0.02017;;;
148;            0.036613;            0.019017;           0.0026395;             0.91592;             0.79796;             0.91654;             0.50565;            0.038357;             0.02039;           0.0021331;           0.0089298;           0.0089298;             0.01963;;;
149;            0.036265;            0.016326;           0.0023503;             0.91447;             0.90043;             0.92659;             0.51202;            0.036732;              0.0187;            0.002624;           0.0089898;           0.0089898;             0.01909;;;
150;             0.03599;            0.016633;           0.0035759;             0.82555;             0.82146;             0.90333;             0.58549;            0.034518;            0.021223;            0.002885;           0.0090498;           0.0090498;             0.01855;;;
151;            0.034448;            0.015374;           0.0028238;             0.83703;             0.86394;             0.90677;             0.54425;            0.032316;            0.021411;           0.0029926;           0.0091098;           0.0091098;             0.01801;;;
152;            0.034718;            0.015597;           0.0030891;             0.96354;             0.87421;              0.9155;             0.62332;            0.029476;             0.02309;           0.0033509;           0.0091698;           0.0091698;             0.01747;;;
153;            0.034127;            0.014388;           0.0033645;             0.91394;             0.84487;               0.917;             0.57156;            0.032234;            0.019489;            0.003192;           0.0092298;           0.0092298;             0.01693;;;
154;            0.033654;            0.014439;           0.0025723;             0.89641;             0.86462;             0.90753;             0.63107;            0.027203;            0.018099;           0.0031054;           0.0092898;           0.0092898;             0.01639;;;
155;            0.035205;            0.015651;            0.002964;             0.93687;              0.8652;             0.91414;             0.61535;            0.029764;            0.021342;            0.002887;           0.0093498;           0.0093498;             0.01585;;;
156;            0.032917;            0.014346;           0.0029089;              0.9408;             0.85618;             0.89848;              0.5742;            0.030771;            0.022581;           0.0028459;           0.0094098;           0.0094098;             0.01531;;;
157;            0.033322;             0.01539;           0.0031719;              0.9155;             0.84822;             0.92415;             0.58991;            0.031062;            0.020609;           0.0031431;           0.0094698;           0.0094698;             0.01477;;;
